id,provide grants,website,entity_name,theme_name,ceo_email,staff_email,board_email,notes,lat,long,address,city,state,zip_code,contact phone,category,sector,group_name,abreviation,provider_numger,provider_type,provider_subtype,facility_control,grade_levels,school_type
E58,,,christian health care center,medical access,,,,,,,855 Aaron Drive ,Lynden,WA,98264,,Whatcom Medical Service Provider,,,,"505,406",Skilled Nursing Facility/Nursing Facility (Dually Certified),Title 18/19,,,
E59,,,lynden therapy specialists,medical access,,,,,,,"1610 West Grover Street, Suite B2",Lynden,WA,98264,,Whatcom Medical Service Provider,,,,"506,565",Outpatient Physical Therapy/Speech Pathology,OPT or Speech Pathology,,,
E60,,,parkway surgical center,medical access,,,,,,,"2940 Squalicum Parkway, Suite 204",Bellingham,WA,98225,,Whatcom Medical Service Provider,PROPRIETARY,,,"50C0,001,038",Ambulatory Surgical Center,Ambulatory Surgical Center,PROPRIETARY,,
E61,,,peacehealth medical group asc endoscopy center,medical access,,,,,,,"4545 Cordata parkway, Suite 1D",Bellingham,WA,98226,,Whatcom Medical Service Provider,NON PROFIT,PeaceHealth,,"50C0,001,058",Ambulatory Surgical Center,Ambulatory Surgical Center,NON PROFIT,,
E62,,,northwest endoscopy center llc,medical access,,,,,,,"2930 Squalicum, Suite 202",Bellingham,WA,98225,,Whatcom Medical Service Provider,PROPRIETARY,,,"50C0,001,082",Ambulatory Surgical Center,Ambulatory Surgical Center,PROPRIETARY,,
E63,,,northwest surgical center bellingham,medical access,,,,,,,3120 Squalicum Parkway,Bellingham,WA,98225,,Whatcom Medical Service Provider,PROPRIETARY,,,"50C0,001,125",Ambulatory Surgical Center,Ambulatory Surgical Center,PROPRIETARY,,
E64,,,whatcom surgery center,medical access,,,,,,,2940 Squalicum Parkway,Bellingham,WA,98225,,Whatcom Medical Service Provider,GOVERNMENT,,,"50C0,001,148",Ambulatory Surgical Center,Ambulatory Surgical Center,GOVERNMENT,,
E65,,,northwest ambulatory surgery services llc,medical access,,,,,,,"2075 Barkley Boulevard, Suite 100",Bellingham,WA,98226,,Whatcom Medical Service Provider,PROPRIETARY,,,"50C0,001,189",Ambulatory Surgical Center,Ambulatory Surgical Center,PROPRIETARY,,
E66,,,pacific rim outpatient surgery center,medical access,,,,,,,3009 Squalicum Parkway,Bellingham,WA,98225,,Whatcom Medical Service Provider,PROPRIETARY,,,"50C0,001,225",Ambulatory Surgical Center,Ambulatory Surgical Center,PROPRIETARY,,
E67,,,mount baker pain clinic,medical access,,,,,,,4029 Northwest Avenue #301,Bellingham,WA,98226,,Whatcom Medical Service Provider,PROPRIETARY,,,"50C0,001,232",Ambulatory Surgical Center,Ambulatory Surgical Center,PROPRIETARY,,
E68,,,pacific cataract and laser institute,medical access,,,,,,,4330 Mitchell Way,Bellingham,WA,98226,,Whatcom Medical Service Provider,PROPRIETARY,,,"50C0,001,296",Ambulatory Surgical Center,Ambulatory Surgical Center,PROPRIETARY,,
E69,,,riverside portable x-ray and ekg,medical access,,,,,,,4621 Morgan Street,Bellingham,WA,98229,,Whatcom Medical Service Provider,CORPORATION,,,"50X0,009,820",Portable X-Ray Supplier,X-Ray,CORPORATION,,
E70,,,"nova diagnostic medical services, inc",medical access,,,,,,,"3960 Meridian, Suite F-188",Bellingham,WA,98226,,Whatcom Medical Service Provider,CORPORATION,,,"50X0,009,822",Portable X-Ray Supplier,X-Ray,CORPORATION,,
E71,,,eden home health,medical access,,,,,,,"316 E Mcleod, Suite 108",Bellingham,WA,98226,,Whatcom Medical Service Provider,PROPRIETARY,,,"507,105",Home Health Agency,Home Health Agency,PROPRIETARY,,
E72,,,signature home health,medical access,,,,,,,459 Stuart Rd,Bellingham,WA,98226,,Whatcom Medical Service Provider,PROPRIETARY,,,"507,116",Home Health Agency,Home Health Agency,PROPRIETARY,,
E73,,,ichc ferndale pioneer,medical access,,,,,,,5603 Third Avenue,Ferndale,WA,98248,,Whatcom Medical Service Provider,OTHER,,,"941,004",Federally Qualified Health Center,Federally Qualified Health Center,OTHER,,
E74,,,saint joseph medical center,medical access,,,,,,,2901 Squalicum Parkway,Bellingham,WA,98225,,Whatcom Medical Service Provider,OTHER (SPECIFY),PeaceHealth,,"500,030",Hospital,Short Term,OTHER (SPECIFY),,
E75,,,whatcom hospice,medical access,,,,,,,"2800 Douglas Ave, Suite 1-C",Bellingham,WA,98225,,Whatcom Medical Service Provider,GOVERNMENT - COUNTY,,,"501,537",Hospice,Hospice,GOVERNMENT - COUNTY,,
E76,,,sea mar community health center bellingham clinic,medical access|community health worker network,,,,,,,4455 Cordata Parkway,Bellingham,WA,98225,360 671-3225,Whatcom Medical Service Provider,OTHER,Sea Mar,,"501,825",Federally Qualified Health Center,Federally Qualified Health Center,OTHER,,
E77,,,sea mar community health center lynden clinic,medical access,,,,,,,6884 Hannegan Road,Everson,WA,98247,,Whatcom Medical Service Provider,OTHER,Sea Mar,,"501,827",Federally Qualified Health Center,Federally Qualified Health Center,OTHER,,
E78,,http://interfaithchc.org/,interfaith community health center,medical access,,,,,,,220 Unity Street,Bellingham,WA,98225,,Whatcom Medical Service Provider,PRIVATE,Unity Care Northwest,,"501,887",Federally Qualified Health Center,Federally Qualified Health Center,PRIVATE,,
E79,,,unity care northwest ferndale,medical access,,,,,,,5616 3rd Avenue,Ferndale,WA,98248,,Whatcom Medical Service Provider,PRIVATE,Unity Care Northwest,,"501,918",Federally Qualified Health Center,Federally Qualified Health Center,PRIVATE,,
E80,,,unity care northwest point roberts,medical access,,,,,,,2030 Benson Road,Point Roberts,WA,98281,,Whatcom Medical Service Provider,PRIVATE,Unity Care Northwest,,"501,919",Federally Qualified Health Center,Federally Qualified Health Center,PRIVATE,,
E81,,,unity care northwest bellingham,medical access,,,,,,,"1616 Cornwall, Avenue, Suite 205",Bellingham,WA,98225,,Whatcom Medical Service Provider,OTHER,Unity Care Northwest,,"501,948",Federally Qualified Health Center,Federally Qualified Health Center,OTHER,,
E82,,,mount baker kidney center outpatient dialysis,medical access,,,,,,,"410 Birchwood Avenue, Suite 100",Bellingham,WA,98225,,Whatcom Medical Service Provider,NOT FOR PROFIT,,,"502,501",End Stage Renal Disease Facility,End Stage Renal Disease,NOT FOR PROFIT,,
E83,,,alderwood elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E84,,,happy valley elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E85,,,shuksan middle school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Middle,Regular School
E86,,,wade king elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E87,,,fairhaven middle school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Middle,Regular School
E88,,,sunnyland elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E89,,,visions seamar youth center,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,,Alternative Education School
E90,,,bellingham re-engagement program,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,High,Regular School
E91,,,lowell elementary school bellingham,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E92,,,roosevelt elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E93,,,northern heights elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E94,,,cordata elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E95,,,whatcom middle school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Middle,Regular School
E96,,,whatcom county detention center,learning and education,,,,,,,,,,,,,,Northwest Educational Service District 189,,,,,,High,Alternative Education School
E97,,,bellingham high school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,High,Regular School
E98,,,geneva elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E99,,,kulshan middle school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Middle,Regular School
E100,,,carl cozier elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E101,,,silver beach elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E102,,,columbia elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E103,,,options high school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,High,Alternative Education School
E104,,,squalicum high school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,High,Regular School
E105,,,sehome high school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,High,Regular School
E106,,,birchwood elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E107,,,bellingham family partnership program,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,,Alternative Education School
E108,,,parkview elementary school,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,Primary,Regular School
E109,,,home port learning center,learning and education,,,,,,,,,,,,,,Bellingham School District,,,,,,High,Alternative Education School
E110,,Bellingham Public Schools,bellingham school district,learning and education,,,,,,,,,,,,,,School District,,,,,,,
E111,,Blaine School District,blaine school district,learning and education,,,,,,,,,,,,,,School District,,,,,,,
E112,,Ferndale School District,ferndale school district,learning and education,,,,,,,,,,,,,,School District,,,,,,,
E113,,Lynden School District,lynden school district,learning and education,,,,,,,,,,,,,,School District,,,,,,,
E114,,Meridian School District,meridian school district,learning and education,,,,,,,,,,,,,,School District,,,,,,,
E115,,Mount Baker School District,mount baker school district,learning and education,,,,,,,,,,,,,,School District,,,,,,,
E116,,Nooksack Valley School District,nooksack valley school district,learning and education,,,,,,,,,,,,,,School District,,,,,,,
E117,,http://alabamahillassociation.com/,alabama hill neighborhood association,neighborhood,,,,,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E118,,http://www.barkleyneighborhood.org/,barkley neighborhood association,neighborhood,,,,,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E119,,http://www.birchwoodneighborhood.org/,birchwood neighborhood association,neighborhood,,,,"General meetings are held on March 26, May 28, Sept. 24, & Nov. 19 at 6:30 p.m. in Birchwood Elementary School. Picnic on Aug. 6that 5:30 p.m.",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E120,,http://www.downtownbellingham.com/,city center neighborhood association,neighborhood,,,,,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E121,,http://www.columbianeighbors.com/,columbia neighborhood association,neighborhood,,,,,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E122,,NONE,cordata neighborhood association,neighborhood,,,,"General Meetings are held on the 2ndTuesday except July, August and December at the Birchwood Presbyterian Church.",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E123,,http://www.cornwallpark.org/,cornwall park neighborhood association,neighborhood,,,,Meeting schedule is online.,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E124,,www.edgemoorneighborhood.com,edgemoor neighborhood association,neighborhood,,,,Meets 1st Thurs. quarterly at 7 p.m. at Lairmont Manner. (except July & August),,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E125,,www.fairhavenneighbors.org,fairhaven neighborhood association,neighborhood,,,,"Meets 1st Wed. of each month at 7 p.m. in the Hillcrest Chapel, 1400 Larrabee Ave",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E126,,www.happyvalleyna.com,happy valley neighborhood association,neighborhood,,,,Meets 2nd Mon. of each month,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E127,,www.kmnassociation.org,king mountain neighborhood association,neighborhood,,,,,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E128,,letteredstreets.wordpress.com,lettered streets neighborhood association,neighborhood,,,,Meets 2nd Tues. of each month at 7 p.m. at 2401 Cornwall Avenue,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E129,,www.pugetneighborhood.org,puget neighborhood association,neighborhood,,,,"Meets on May 20, Sept. 16, Nov. 18, Feb. 17 at 7 p.m. at Cozier School",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E130,,NONE,roosevelt neighborhood association,neighborhood,,,,,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E131,,www.samishneighborhood.org,samish neighborhood association,neighborhood,,,,"Meets the 2nd Thurs. of the month except for March, July, Sept. & Dec.",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E132,,www.sehome.org,sehome neighborhood association,neighborhood,,,,"Meets Apr 5, May 24, Sept 27 at Garden Street Methodist Church and 12/13 at WECU Educational Center - 511 E. Holly Street 7-9pm",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E133,,NONE,silver beach neighborhood association,neighborhood,,,,"Meets on Feb. 21, May 9, Aug.t 8, Nov. 14 at 7 p.m. at Bloedel Donovan Park Pavilion.",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E134,,www.southneighborhood.org,south neighborhood association,neighborhood,,,,"Meets quarterly on the 4th Wed. of the month (Jan. 23, April 23, July 23, Sept. 23) at 7 p.m. Call (360) 647-4758 for location of next meeting.",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E135,,NONE,south hill neighborhood association,neighborhood,,,,"General meetings are on 1st Wed. of Feb., May, Sept., and Nov. at 7 p.m. at Fireplace Room in Fairhaven Library",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E136,,www.sunnyland.org,sunnyland neighborhood association,neighborhood,,,,,,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E137,,http://whatcomfallsneighborhood.org,whatcom falls neighborhood association,neighborhood,,,,"General meetings are held on 2nd Tues. of Jan., March, May, Sept. and Nov. at 7:00 p.m. at Kulshan Middle School Library",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E138,,www.yorkneighborhood.org,york neighborhood association,neighborhood,,,,"Meets the 2nd Wednesday of most months (no mtg. July) at 7 p.m. at Garden Street Methodist Church, 1326 N. Garden St.",,,,,,,,,Civil Society,Bellingham Neighborhood Association,,,,,,,
E139,,,anonymous donors,,,,,,,,,,,,,,,,,,,,,,
E140,,,community commons,community building,,,,,,,,,,,,,,,,,,,,,
E141,Consulting,http://cmg625.com/,cambridge management group 625,neighborhood,,,,,,,,,,,,,,,,,,,,,
E142,,http://www.nwrcwa.org/care-transitions-program/,northwest regional council,medical access|community health worker network|health,MurphDK@dshs.wa.gov,,,,,,"600 Lakeway Drive, Suite 100",,WA,98225,360 676-6749,,,,,,,,,,
E143,,http://www.compasshealth.org/locations/,compass health,mental health|prevention|addiction and recovery|community health worker network|health,,,,,,,1216 Bay Street,Bellingham,WA,98225,,,,,,,,,,,
E144,,https://sites.google.com/a/bellinghamgivingcircle.org/bellingham-giving-circle/items-provided,bellingham giving circle ,basic needs,,,,,,,,,,,,,,,,,,,,,
E145,,http://www.fulllifecare.org/our-locations/snohomish-county/,full life care,elders|disability,,,,,,,2931 Rucker Avenue,Everett,WA,98201,425 3555-1313,,,,,,,,,,
E146,,http://sunrisecommunityliving.com/contact-us/#MH-Blh,sunrise services,community health worker network|health,,,,,,,"4151 Meridian St., Ste 102",Bellingham,WA,98226,360746-7290,,,,,,,,,,
E147,,https://www.hca.wa.gov/about-hca/healthier-washington/accountable-communities-health-ach,washington health care authority,health|community health worker network|medical insurance|medical access|managed care|mental health,,,,,,,,,,,,,,,,,,,,,
E148,,http://www.alsa.org/,als association,,,,,,,,,,,,,,,,,,,,,,
E149,,http://www.alzsociety.org,alzheimer society of washington,,,,,,,,,,,,,,,,,,,,,,
E150,,http://bellinghamfoodbank.org/,bellingham food bank,,,,,,,,,,,,,,,,,,,,,,
E151,,http://www.wcsar.org/bmrc/,bellingham mountain rescue council,,,,,,,,,,,,,,,,,,,,,,
E152,,http://www.btc.ctc.edu/,bellingham technical college,,,,,,,,,,,,,,,,,,,,,,
E153,,http://www.whatcomcounty.us/health/ch/pdf/communityhealthimprovementplanoutline.pdf,whatcom community health improvement initiative,,,,,,,,,,,,,,,,,,,,,,
E154,,http://www.whatcomcountyems.com/,whatcom emergency medical system,,,,,,,,,,,,,,,,,,,,,,
E155,,http://www.whatcomvolunteer.org/,whatcom volunteer center,,,,,,,,,,,,,,,,,,,,,,
E156,,http://www.mbdds.org/,mount baker dental society,,,,,,,,,,,,,,,,,,,,,,
E157,,http://www.nwic.edu/,northwest indian college,,,,,,,,,,,,,,,,,,,,,,
E158,,http://www.our-treehouse.org/,our treehouse,,,,,,,,,,,,,,,,,,,,,,
E159,,http://www.suncommunityservice.org/,sun community services,,,,,,,,,,,,,,,,,,,,,,
E160,,http://www.whatcomtakingaction.wordpress.com/,whatcom taking action,,,,,,,,,,,,,,,,,,,,,,
E161,,http://www.whatcom.ctc.edu/foundation,whatcom community college foundation,,,,,,,,,,,,,,,,,,,,,,
E162,,http://www.whatcomrowing.org/,whatcom rowing association,,,,,,,,,,,,,,,,,,,,,,
E163,,http://www.wccoa.org/,whatcom council on aging,,,,,,,,,,,,,,,,,,,,,,
E164,,http://www.bellinghamfoodbank.org/,bellingham food bank,,,,,,,,,,,,,,,,,,,,,,
E165,,http://www.whatcomclubs.org/,boys and girls clubs of whatcom county,,,,,,,,,,,,,,,,,,,,,,
E166,,http://www.brigidcollins.org/,brigid collins family support center,,,,,,,,,,,,,,,,,,,,,,
E167,,http://www.dvsas.org/,domestic violence and sexual assault services,,,,,,,,,,,,,,,,,,,,,,
E168,,http://www.interfaithchc.org/,interfaith community health center,,,,,,,,,,,,,,,,,,,,,,
E169,,http://www.thelighthousemission.org/,lighthouse mission ministries,,,,,,,,,,,,,,,,,,,,,,
E170,,http://www.lydiaplace.org/,lydia place,,,,,,,,,,,,,,,,,,,,,,
E171,,http://www.plannedparenthood.org/mbpp,mount baker planned parenthood,,,,,,,,,,,,,,,,,,,,,,
E172,,http://www.nwys.org/,northwest youth services,,,,,,,,,,,,,,,,,,,,,,
E173,,https://www.peacehealth.org/st-joseph-medical-center,peacehealth saint joseph medical center,,,,,,,,,,,,,,,,,,,,,,
E174,,http://www.unitedwaywhatcom.org/,united way of whatcom county,,,,,,,,,,,,,,,,,,,,,,
E175,,http://whatcomalliance.org/,whatcom alliance for health advancement,,,,,,,,,,,,,,,,,,,,,,
E176,,http://www.whatcom.ctc.edu/about-wcc/wcc-foundation,whatcom community college foundation,,,,,,,,,,,,,,,,,,,,,,
E177,,http://www.whatcomcf.org/,whatcom community foundation,,,,,,,,,,,,,,,,,,,,,,
E178,,http://www.whatcomcounseling.org/,whatcom counseling and psychiatric clinic,,,,,,,,,,,,,,,,,,,,,,
E179,,http://wccoa.org/index.php/Home,whatcom county council of aging,,,,,,,,,,,,,,,,,,,,,,
